time;tag;message
2025.07.01 00:00:00;RECOVER;init: v2.30 test_case=E2_eurusd lock=0 streak=0 positions=0 equity=10000.00 day_eq=10000.00 peak_eq=10000.00
2025.07.01 00:00:00;VETO;signal rejected: score 0.40 < 0.55 [BOS long lvl=1.18|RelVol=1.19|Retest@1.18|ADX=62]
2025.07.01 03:15:00;VETO;signal rejected: volume: relVol 0.76 < 1.00
2025.07.01 05:00:00;VETO;signal rejected: volume: relVol 0.84 < 1.00
2025.07.01 10:15:00;VETO;outlier bar masked, z=3.7
2025.07.01 11:30:00;DECISION;setup LONG score=0.65 entry=1.18 inv=1.18 tgt=0.00 AWAIT-RETEST [CHoCH long lvl=1.18|RelVol=1.13|Retest@1.18|VPnode d=0.00|VWAPside]
2025.07.01 11:45:00;VETO;authorization denied: outside session window (server hour 11, window 12-20)
2025.07.01 12:00:00;VETO;outlier bar masked, z=6.7
2025.07.01 12:15:00;DECISION;TP capped 0.00724 -> 0.00543 (3.0xATR)
2025.07.01 12:15:00;ORDER;filled BUY 0.24 lots sl=1.18 tp=1.19 [WT|CHOCH|0.65]
2025.07.01 12:15:00;RISK;sizing: vol_ratio=1.32 scalar=1.00 gap_buf=0.00052 eff_stop=0.00414
2025.07.01 12:15:00;ORDER;entry fill deal #2 BUY 0.24 @ 1.18031
2025.07.01 15:45:00;VETO;signal rejected: volume: relVol 0.66 < 1.00
2025.07.01 17:00:00;VETO;outlier bar masked, z=3.9
2025.07.01 17:15:00;VETO;outlier bar masked, z=3.7
2025.07.01 17:45:00;VETO;outlier bar masked, z=3.6
2025.07.01 19:04:14;RISK;deal closed pnl=-86.88 streak=1 lock=0
2025.07.01 22:15:00;DECISION;setup LONG score=0.55 entry=1.18 inv=1.18 tgt=0.00 AWAIT-RETEST [CHoCH long lvl=1.18|RelVol=1.17|Retest@1.18|VPnode d=0.00]
2025.07.01 22:30:00;VETO;authorization denied: outside session window (server hour 22, window 12-20)
2025.07.01 22:45:00;VETO;authorization denied: outside session window (server hour 22, window 12-20)
2025.07.01 23:00:00;VETO;authorization denied: outside session window (server hour 23, window 12-20)
2025.07.01 23:15:00;VETO;authorization denied: outside session window (server hour 23, window 12-20)
2025.07.02 04:00:00;VETO;signal rejected: volume: relVol 0.59 < 1.00
2025.07.02 05:00:00;VETO;outlier bar masked, z=3.7
2025.07.02 09:00:00;VETO;signal rejected: volume: relVol 0.98 < 1.00
2025.07.02 12:30:00;VETO;signal rejected: volume: relVol 0.89 < 1.00
2025.07.02 14:30:00;VETO;signal rejected: volume: relVol 0.71 < 1.00
2025.07.02 15:30:00;VETO;outlier bar masked, z=9.8
2025.07.02 15:45:00;VETO;outlier bar masked, z=5.3
2025.07.02 16:15:00;VETO;outlier bar masked, z=5.1
2025.07.02 19:00:00;DECISION;setup LONG score=0.65 entry=1.18 inv=1.18 tgt=0.00 AWAIT-RETEST [CHoCH long lvl=1.18|RelVol=1.05|Retest@1.18|VPnode d=0.00|VWAPside]
2025.07.02 19:00:00;DECISION;TP capped 0.00810 -> 0.00607 (3.0xATR)
2025.07.02 19:00:00;ERROR;limit BUY 0.20 @ 1.18 sl=1.18 tp=1.19 rc=10015 [WT|CHOCH|0.65|RL]
2025.07.02 19:15:00;DECISION;TP capped 0.00758 -> 0.00568 (3.0xATR)
2025.07.02 19:15:00;ORDER;filled BUY 0.22 lots sl=1.18 tp=1.18 [WT|CHOCH|0.65]
2025.07.02 19:15:00;RISK;sizing: vol_ratio=1.64 scalar=1.00 gap_buf=0.00063 eff_stop=0.00442
2025.07.02 19:15:00;ORDER;entry fill deal #4 BUY 0.22 @ 1.17882
2025.07.02 20:15:00;DECISION;setup LONG score=0.60 entry=1.18 inv=1.18 tgt=0.00 [BOS long lvl=1.18|RelVol=1.12|VPnear|VWAPside|ADX=43]
2025.07.02 20:15:00;VETO;authorization denied: outside session window (server hour 20, window 12-20)
2025.07.02 20:30:00;VETO;authorization denied: outside session window (server hour 20, window 12-20)
2025.07.02 20:45:00;VETO;authorization denied: outside session window (server hour 20, window 12-20)
2025.07.02 21:00:00;VETO;authorization denied: outside session window (server hour 21, window 12-20)
2025.07.02 23:00:00;VETO;signal rejected: volume: relVol 0.60 < 1.00
2025.07.03 00:15:00;VETO;signal rejected: volume: relVol 0.67 < 1.00
2025.07.03 00:45:01;DECISION;setup SHORT score=0.65 entry=1.18 inv=1.18 tgt=0.00 [BOS short lvl=1.18|RelVol=1.26|VPnode d=0.00|VWAPside]
2025.07.03 00:45:01;VETO;authorization denied: outside session window (server hour 00, window 12-20)
2025.07.03 01:00:00;VETO;authorization denied: outside session window (server hour 01, window 12-20)
2025.07.03 01:15:01;VETO;authorization denied: outside session window (server hour 01, window 12-20)
2025.07.03 01:30:00;VETO;authorization denied: outside session window (server hour 01, window 12-20)
2025.07.03 10:30:00;VETO;signal rejected: volume: relVol 0.74 < 1.00
2025.07.03 12:15:00;VETO;signal rejected: volume: relVol 0.58 < 1.00
2025.07.03 15:00:00;VETO;signal rejected: volume: relVol 0.95 < 1.00
2025.07.03 15:30:01;RISK;deal closed pnl=-88.24 streak=1 lock=0
2025.07.03 15:45:00;VETO;outlier bar masked, z=17.0
2025.07.03 16:00:00;VETO;outlier bar masked, z=3.9
2025.07.03 17:15:00;VETO;outlier bar masked, z=5.3
2025.07.03 19:30:00;VETO;signal rejected: volume: relVol 0.84 < 1.00
2025.07.04 02:15:00;VETO;signal rejected: volume: relVol 0.59 < 1.00
2025.07.04 10:30:00;VETO;signal rejected: volume: relVol 0.10 < 1.00
2025.07.04 12:45:00;VETO;signal rejected: volume: relVol 0.76 < 1.00
2025.07.04 17:15:00;VETO;signal rejected: volume: relVol 0.46 < 1.00
2025.07.04 20:00:00;VETO;signal rejected: volume: relVol 0.33 < 1.00
2025.07.04 22:00:00;VETO;signal rejected: volume: relVol 0.57 < 1.00
2025.07.07 00:01:40;VETO;outlier bar masked, z=3.5
2025.07.07 00:15:00;VETO;outlier bar masked, z=4.4
2025.07.07 03:15:00;VETO;signal rejected: volume: relVol 0.77 < 1.00
2025.07.07 04:45:00;VETO;signal rejected: volume: relVol 0.66 < 1.00
2025.07.07 08:30:00;VETO;signal rejected: volume: relVol 0.96 < 1.00
2025.07.07 09:30:00;VETO;signal rejected: volume: relVol 0.76 < 1.00
2025.07.07 15:30:00;VETO;signal rejected: volume: relVol 0.76 < 1.00
2025.07.07 16:30:00;VETO;signal rejected: volume: relVol 0.89 < 1.00
2025.07.07 19:30:00;VETO;outlier bar masked, z=7.9
2025.07.07 19:45:00;VETO;outlier bar masked, z=3.7
2025.07.07 20:00:00;VETO;outlier bar masked, z=5.7
2025.07.07 20:45:00;VETO;outlier bar masked, z=4.2
2025.07.08 01:45:00;VETO;signal rejected: score 0.50 < 0.55 [CHoCH long lvl=1.17|RelVol=1.00|Retest@1.17|VPnear|VWAPside]
2025.07.08 08:45:00;VETO;signal rejected: volume: relVol 0.80 < 1.00
2025.07.08 10:15:00;VETO;signal rejected: volume: relVol 0.97 < 1.00
2025.07.08 13:30:00;VETO;signal rejected: volume: relVol 0.73 < 1.00
2025.07.08 15:00:00;DECISION;setup SHORT score=0.60 entry=1.17 inv=1.18 tgt=0.00 [BOS short lvl=1.17|RelVol=1.01|VPnear|VWAPside|ADX=42]
2025.07.08 15:00:00;DECISION;TP capped 0.00868 -> 0.00651 (3.0xATR)
2025.07.08 15:00:00;ORDER;filled SELL 0.21 lots sl=1.18 tp=1.17 [WT|BOS|0.60]
2025.07.08 15:00:00;RISK;sizing: vol_ratio=0.82 scalar=1.00 gap_buf=0.00030 eff_stop=0.00464
2025.07.08 15:00:00;ORDER;entry fill deal #6 SELL 0.21 @ 1.17212
2025.07.08 16:15:00;VETO;signal rejected: volume: relVol 0.71 < 1.00
2025.07.09 00:30:00;VETO;signal rejected: volume: relVol 0.58 < 1.00
2025.07.09 05:45:00;DECISION;setup SHORT score=0.65 entry=1.17 inv=1.17 tgt=0.00 AWAIT-RETEST [BOS short lvl=1.17|RelVol=1.05|Retest@1.17|VPnode d=0.00|VWAPside]
