time;tag;message
2026.01.01 00:00:00;RECOVER;init: v2.43 test_case=G5_session_london lock=0 streak=0 positions=0 equity=10000.00 day_eq=10000.00 peak_eq=10000.00
2026.01.01 00:00:00;RECOVER;symbol overrides [GBPUSD]: GBPUSD: profile_bin 0.20 -> 0.0002 (SEEDED from EURUSD, UNCONFIRMED - own campaign pending)
2026.01.02 03:00:00;VETO;signal rejected: volume: relVol 0.80 < 1.00
2026.01.02 09:45:00;VETO;signal rejected: volume: relVol 0.88 < 1.00
2026.01.02 12:30:00;VETO;signal rejected: score 0.50 < 0.55 [BOS short lvl=1.34|RelVol=1.10|VPnear|VWAPside]
2026.01.02 15:30:00;DECISION;setup LONG score=0.55 entry=1.35 inv=1.34 tgt=0.00 AWAIT-RETEST [CHoCH long lvl=1.34|RelVol=1.00|Retest@1.35|VPnode d=0.00]
2026.01.02 15:30:00;DECISION;TP capped 0.00348 -> 0.00261 (3.0xATR)
2026.01.02 15:30:00;ERROR;limit BUY 0.46 @ 1.35 sl=1.34 tp=1.35 rc=10015 [WT|CHOCH|0.55|RL]
2026.01.02 15:45:00;DECISION;TP capped 0.00412 -> 0.00309 (3.0xATR)
2026.01.02 15:45:00;ORDER;filled BUY 0.40 lots sl=1.34 tp=1.35 [WT|CHOCH|0.55]
2026.01.02 15:45:00;RISK;sizing: vol_ratio=1.14 scalar=1.00 gap_buf=0.00043 eff_stop=0.00249
2026.01.02 15:45:00;ORDER;entry fill deal #2 BUY 0.40 @ 1.34549
2026.01.02 17:06:40;MANAGE;#2 SL 1.34 -> 1.35 breakeven
2026.01.02 17:06:40;MANAGE;#2 partial close 0.20 of 0.40 lots
2026.01.02 17:06:40;RISK;deal closed pnl=42.20 streak=0 lock=0
2026.01.02 17:06:59;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.02 17:07:40;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.02 17:35:40;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.02 17:36:20;MANAGE;#2 SL 1.35 -> 1.35 trail
2026.01.02 17:40:40;RISK;deal closed pnl=61.80 streak=0 lock=0
2026.01.02 23:15:00;VETO;signal rejected: volume: relVol 0.79 < 1.00
2026.01.05 01:45:00;DECISION;setup SHORT score=0.65 entry=1.34 inv=1.35 tgt=0.00 AWAIT-RETEST [CHoCH short lvl=1.34|RelVol=1.08|Retest@1.34|VPnode d=0.00|VWAPside]
2026.01.05 02:00:00;VETO;authorization denied: outside session window (server hour 02, window 07-16)
2026.01.05 02:15:00;VETO;authorization denied: outside session window (server hour 02, window 07-16)
2026.01.05 02:30:00;VETO;authorization denied: outside session window (server hour 02, window 07-16)
2026.01.05 02:45:00;VETO;authorization denied: outside session window (server hour 02, window 07-16)
2026.01.05 04:15:00;DECISION;setup SHORT score=0.65 entry=1.34 inv=1.35 tgt=0.00 [BOS short lvl=1.34|RelVol=1.22|StopFloored|VPnode d=0.00|VWAPside]
2026.01.05 04:15:00;VETO;authorization denied: outside session window (server hour 04, window 07-16)
2026.01.05 04:30:00;VETO;authorization denied: outside session window (server hour 04, window 07-16)
2026.01.05 04:45:00;VETO;authorization denied: outside session window (server hour 04, window 07-16)
2026.01.05 05:00:00;VETO;authorization denied: outside session window (server hour 05, window 07-16)
2026.01.05 12:00:00;DECISION;setup LONG score=0.65 entry=1.34 inv=1.34 tgt=0.00 AWAIT-RETEST [CHoCH long lvl=1.34|RelVol=1.19|Retest@1.34|VPnode d=0.00|VWAPside]
2026.01.05 12:00:00;DECISION;TP capped 0.00378 -> 0.00283 (3.0xATR)
2026.01.05 12:00:00;ORDER;limit BUY 0.43 @ 1.34 sl=1.34 tp=1.35 rc=10009 [WT|CHOCH|0.65|RL]
2026.01.05 12:00:00;RISK;sizing: vol_ratio=1.13 scalar=1.00 gap_buf=0.00046 eff_stop=0.00235
2026.01.05 12:04:40;ORDER;entry fill deal #5 BUY 0.43 @ 1.34407
2026.01.05 12:47:40;MANAGE;#5 SL 1.34 -> 1.34 breakeven
2026.01.05 12:47:40;MANAGE;#5 partial close 0.21 of 0.43 lots
2026.01.05 12:47:40;RISK;deal closed pnl=40.74 streak=0 lock=0
2026.01.05 12:48:40;MANAGE;#5 SL 1.34 -> 1.34 trail
2026.01.05 12:49:40;MANAGE;#5 SL 1.34 -> 1.34 trail
2026.01.05 13:03:40;MANAGE;#5 SL 1.34 -> 1.34 trail
2026.01.05 13:17:40;MANAGE;#5 SL 1.34 -> 1.34 trail
2026.01.05 13:20:40;RISK;deal closed pnl=62.26 streak=0 lock=0
2026.01.05 16:00:00;VETO;outlier bar masked, z=6.4
2026.01.05 17:15:00;DECISION;setup LONG score=0.60 entry=1.35 inv=1.34 tgt=0.00 [BOS long lvl=1.35|RelVol=1.23|VWAPside|CycleTurn w=0.76<--0.12]
2026.01.05 17:15:00;VETO;authorization denied: outside session window (server hour 17, window 07-16)
2026.01.05 17:30:00;VETO;authorization denied: outside session window (server hour 17, window 07-16)
2026.01.05 17:45:00;VETO;authorization denied: outside session window (server hour 17, window 07-16)
2026.01.05 18:00:00;VETO;authorization denied: outside session window (server hour 18, window 07-16)
2026.01.05 21:00:00;VETO;signal rejected: score 0.50 < 0.55 [BOS long lvl=1.35|RelVol=1.11|VWAPside|ADX=72]
2026.01.06 01:30:00;VETO;signal rejected: volume: relVol 0.65 < 1.00
2026.01.06 03:45:00;VETO;signal rejected: volume: relVol 0.96 < 1.00
2026.01.06 11:30:00;DECISION;setup SHORT score=0.65 entry=1.35 inv=1.36 tgt=0.00 AWAIT-RETEST [CHoCH short lvl=1.35|RelVol=1.32|Retest@1.35|VPnode d=0.00|VWAPside]
2026.01.06 11:30:00;DECISION;TP capped 0.00451 -> 0.00338 (3.0xATR)
2026.01.06 11:30:00;ERROR;limit SELL 0.37 @ 1.35 sl=1.36 tp=1.35 rc=10015 [WT|CHOCH|0.65|RL]
2026.01.06 11:45:00;DECISION;TP capped 0.00500 -> 0.00375 (3.0xATR)
2026.01.06 11:45:00;ORDER;filled SELL 0.34 lots sl=1.36 tp=1.35 [WT|CHOCH|0.65]
2026.01.06 11:45:00;RISK;sizing: vol_ratio=1.21 scalar=1.00 gap_buf=0.00047 eff_stop=0.00297
2026.01.06 11:45:00;ORDER;entry fill deal #8 SELL 0.34 @ 1.35419
